created_year,created_month,created_dayofweek,created_hour,is_weekend,Borough,Community Board,Incident Zip,City,Location Type,Address Type,Latitude,Longitude,y
2014,4,0,0,0,MANHATTAN,12 MANHATTAN,Other,NEW YORK,3+ Family Apt. Building,ADDRESS,40.84731011174515,-73.93508467644267,504.0
2014,4,0,0,0,BRONX,04 BRONX,10456,BRONX,3+ Family Apt. Building,ADDRESS,40.83237624132905,-73.91060968493636,72.0
2014,4,0,0,0,BRONX,04 BRONX,10452,BRONX,3+ Family Apt. Building,ADDRESS,40.8309935459408,-73.92290485288783,85.39472222222223
2014,4,1,0,0,MANHATTAN,Other,Other,NEW YORK,3+ Family Mixed Use Building,ADDRESS,40.76220868284416,-73.99175878000325,216.0
2014,4,0,0,0,BROOKLYN,04 BROOKLYN,11207,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.68697693316377,-73.90812553291262,564.9875
2014,4,0,0,0,MANHATTAN,07 MANHATTAN,10024,NEW YORK,3+ Family Apt. Building,ADDRESS,40.78785636457305,-73.97755632349471,72.0
2014,4,0,0,0,QUEENS,05 QUEENS,11385,Ridgewood,Other (Explain Below),INTERSECTION,40.70141017807936,-73.89664769458659,72.0
2014,4,0,0,0,MANHATTAN,07 MANHATTAN,10025,NEW YORK,3+ Family Apt. Building,ADDRESS,40.79942723045277,-73.96329288231652,72.0
2014,4,1,0,0,BRONX,05 BRONX,10452,BRONX,3+ Family Apt. Building,ADDRESS,40.84597841413456,-73.91714064110928,40.3425
2014,4,1,0,0,BRONX,Unspecified BRONX,Other,BRONX,Other (Explain Below),LATLONG,40.824899339918446,-73.86281315765733,72.0
2014,4,1,0,0,STATEN ISLAND,01 STATEN ISLAND,Other,STATEN ISLAND,3+ Family Apt. Building,ADDRESS,40.61654792836163,-74.06451080963103,504.0
2014,4,1,0,0,BROOKLYN,05 BROOKLYN,11208,BROOKLYN,Commercial Building,ADDRESS,40.67885219866432,-73.8659762145188,336.0
2014,4,1,0,0,BROOKLYN,02 BROOKLYN,11238,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.68221184188938,-73.9608768266842,408.0
2014,4,1,0,0,QUEENS,12 QUEENS,Other,Jamaica,1-2 Family Dwelling,ADDRESS,40.69718521392593,-73.77774350797328,168.0
2014,4,1,0,0,STATEN ISLAND,Other,Other,STATEN ISLAND,1-2 Family Dwelling,ADDRESS,40.567838568658495,-74.108443844028,240.0
2014,4,1,0,0,BROOKLYN,01 BROOKLYN,11211,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.714034244496986,-73.95963530336977,159.95027777777779
2014,4,1,0,0,STATEN ISLAND,Other,Other,STATEN ISLAND,Vacant Lot,ADDRESS,40.56803310933751,-74.10880409285107,240.0
2014,4,1,0,0,BRONX,05 BRONX,10457,BRONX,3+ Family Apt. Building,ADDRESS,40.846766768859645,-73.90379886814574,144.0
2014,4,1,0,0,BROOKLYN,Unspecified BROOKLYN,11238,BROOKLYN,Vacant Lot,LATLONG,40.6821128772119,-73.96042980460287,408.0
2014,4,1,0,0,BRONX,09 BRONX,Other,BRONX,1-2 Family Dwelling,ADDRESS,40.82824395060176,-73.8664666433473,48.0
2014,4,1,0,0,QUEENS,Other,Other,Other,1-2 Family Dwelling,ADDRESS,40.73257254586757,-73.85665999017475,144.0
2014,4,1,0,0,BROOKLYN,02 BROOKLYN,Other,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.69554676206662,-73.97337534284996,312.0
