created_year,created_month,created_dayofweek,created_hour,is_weekend,Borough,Community Board,Incident Zip,City,Location Type,Address Type,Latitude,Longitude,y
2017,2,3,0,0,BROOKLYN,05 BROOKLYN,11208,Saint Albans,3+ Family Apt. Building,ADDRESS,40.67053141,-73.86021794,120.0
2017,6,2,0,0,MANHATTAN,Other,Other,NEW YORK,3+ Family Apt. Building,ADDRESS,40.75950791,-73.96365419,120.0
2017,2,3,0,0,BROOKLYN,05 BROOKLYN,11208,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.68320185,-73.87004895,120.0
2017,2,3,0,0,BRONX,Other,Other,BRONX,Vacant Building,ADDRESS,40.81987095,-73.91749109,120.0
2017,2,3,0,0,QUEENS,Unspecified QUEENS,Other,ELMHURST,Other (Explain Below),LATLONG,40.74668788,-73.89086443,144.0
2017,2,3,0,0,BROOKLYN,Unspecified BROOKLYN,Other,BROOKLYN,3+ Family Apt. Building,LATLONG,40.63809754,-73.95301189,120.0
2017,2,4,0,0,BROOKLYN,08 BROOKLYN,11216,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.67332198,-73.94814915,120.0
2017,8,5,0,1,BRONX,04 BRONX,10452,BRONX,Vacant Lot,ADDRESS,40.83328391,-73.92916832,408.0
2017,5,2,0,0,QUEENS,Unspecified QUEENS,Other,CORONA,1-2 Family Dwelling,LATLONG,40.74207499,-73.85454648,24.0
2017,5,3,0,0,MANHATTAN,10 MANHATTAN,10026,Ridgewood,3+ Family Mixed Use Building,ADDRESS,40.80628524,-73.95284259,120.0
2017,8,5,0,1,BROOKLYN,Unspecified BROOKLYN,11207,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.69037453,-73.90758717,144.0
2017,8,5,0,1,MANHATTAN,Unspecified MANHATTAN,10002,NEW YORK,3+ Family Apt. Building,ADDRESS,40.7202412,-73.98892483,240.0
2017,2,4,0,0,BROOKLYN,05 BROOKLYN,11208,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.6804041,-73.86457781,96.0
2017,2,4,0,0,BROOKLYN,08 BROOKLYN,11216,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.673466,-73.95111596,120.0
2017,2,4,0,0,BRONX,Other,Other,BRONX,3+ Family Apt. Building,ADDRESS,40.87307044,-73.90196374,96.0
2017,2,4,0,0,BROOKLYN,05 BROOKLYN,11208,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.6804041,-73.86457781,96.0
2017,2,4,0,0,BROOKLYN,Unspecified BROOKLYN,11208,BROOKLYN,Other (Explain Below),INTERSECTION,40.67715651,-73.8688674,96.0
2017,8,5,0,1,QUEENS,Unspecified QUEENS,Other,FLUSHING,Parking Lot/Garage,LATLONG,40.74818289,-73.81839917,288.0
2017,7,3,0,0,BROOKLYN,Unspecified BROOKLYN,11207,BROOKLYN,1-2 Family Dwelling,LATLONG,40.69057197,-73.91082864,696.0
2017,7,3,0,0,QUEENS,Unspecified QUEENS,Other,Other,Other (Explain Below),BLOCKFACE,40.76051688,-73.88342739,120.0
2017,2,5,0,1,QUEENS,Other,Other,Jackson Heights,1-2 Family Dwelling,INTERSECTION,40.75441573,-73.87852928,96.0
2017,7,3,0,0,QUEENS,Unspecified QUEENS,Other,Other,3+ Family Mixed Use Building,ADDRESS,40.70766823,-73.82782971,672.0
2017,2,5,0,1,MANHATTAN,Unspecified MANHATTAN,Other,NEW YORK,3+ Family Apt. Building,LATLONG,40.83435568,-73.94130933,72.0
2017,2,5,0,1,MANHATTAN,10 MANHATTAN,10026,NEW YORK,3+ Family Mixed Use Building,ADDRESS,40.80647047,-73.95621988,112.1072222
2017,5,3,0,0,BROOKLYN,16 BROOKLYN,11212,BROOKLYN,Parking Lot/Garage,ADDRESS,40.65659261,-73.90519399,120.0
2017,2,6,0,1,MANHATTAN,Unspecified MANHATTAN,Other,NEW YORK,3+ Family Apt. Building,LATLONG,40.85437903,-73.9374491,48.0
2017,7,1,0,0,BROOKLYN,Other,Other,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.6445375,-74.0124139,240.0
2017,7,2,0,0,BRONX,04 BRONX,10456,BRONX,1-2 Family Dwelling,ADDRESS,40.83471948,-73.91323012,192.0
2017,7,2,0,0,QUEENS,05 QUEENS,11385,Ridgewood,1-2 Family Mixed Use Building,ADDRESS,40.69535705,-73.90187525,373.2083333
2017,2,6,0,1,QUEENS,Unspecified QUEENS,Other,CORONA,Other (Explain Below),LATLONG,40.7472827,-73.84678294,72.0
2017,2,6,0,1,QUEENS,Other,Other,Corona,1-2 Family Dwelling,ADDRESS,40.75105087,-73.85497443,72.0
2017,8,3,0,0,MANHATTAN,Unspecified MANHATTAN,10002,NEW YORK,Construction Site,BLOCKFACE,40.71706489,-73.98365498,120.0
2017,7,2,0,0,QUEENS,Unspecified QUEENS,Other,Astoria,Other (Explain Below),ADDRESS,40.78477259,-73.91537518,1176.0
2017,5,2,0,0,STATEN ISLAND,Other,Other,STATEN ISLAND,1-2 Family Dwelling,ADDRESS,40.58831997,-74.0965057,360.0
2017,2,0,0,0,QUEENS,Unspecified QUEENS,Other,Other,Construction Site,LATLONG,40.7549234,-73.77038613,48.0
2017,7,3,0,0,BROOKLYN,Unspecified BROOKLYN,11238,BROOKLYN,Construction Site,LATLONG,40.68296323,-73.96752498,216.0
2017,7,3,0,0,QUEENS,Other,Other,Woodside,Vacant Lot,ADDRESS,40.75147486,-73.89696343,120.0
2017,8,3,0,0,BROOKLYN,Unspecified BROOKLYN,11212,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.66668999,-73.92264058,192.0
2017,5,1,0,0,QUEENS,Unspecified QUEENS,Other,Other,Vacant Building,LATLONG,40.70669565,-73.74706098,72.0
2017,5,1,0,0,BROOKLYN,04 BROOKLYN,11237,BROOKLYN,Other (Explain Below),ADDRESS,40.69871638,-73.9153654,192.0
2017,7,3,0,0,BRONX,Unspecified BRONX,Other,BRONX,3+ Family Apt. Building,LATLONG,40.83204367,-73.85813325,168.0
2017,7,3,0,0,QUEENS,Other,Other,Woodside,Vacant Lot,ADDRESS,40.75147486,-73.89696343,120.0
2017,5,2,0,0,STATEN ISLAND,03 STATEN ISLAND,Other,STATEN ISLAND,Vacant Lot,ADDRESS,40.53998431,-74.22262234,384.0
2017,2,0,0,0,BROOKLYN,Other,Other,BROOKLYN,Other (Explain Below),ADDRESS,40.64608918,-74.02414731,48.0
2017,2,0,0,0,BROOKLYN,Unspecified BROOKLYN,Other,BROOKLYN,3+ Family Apt. Building,LATLONG,40.73034182,-73.95484109,24.0
2017,7,4,0,0,QUEENS,Unspecified QUEENS,Other,Other,Commercial Building,LATLONG,40.78299907,-73.79493049,120.0
2017,7,4,0,0,QUEENS,Other,Other,Jamaica,1-2 Family Mixed Use Building,ADDRESS,40.70777322,-73.80261013,168.0
2017,7,4,0,0,BROOKLYN,Other,11215,BROOKLYN,1-2 Family Mixed Use Building,ADDRESS,40.66491531,-73.99476619,192.0
2017,5,2,0,0,MANHATTAN,Unspecified MANHATTAN,10026,NEW YORK,Other (Explain Below),BLOCKFACE,40.80100198,-73.9472659,24.0
2017,7,5,0,1,BROOKLYN,Other,Other,BROOKLYN,Other (Explain Below),INTERSECTION,40.63719561,-74.00778621,144.0
2017,7,5,0,1,BROOKLYN,17 BROOKLYN,Other,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.65059443,-73.91464803,144.0
2017,7,5,0,1,BROOKLYN,17 BROOKLYN,Other,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.65059443,-73.91464803,144.0
2017,5,1,0,0,MANHATTAN,12 MANHATTAN,Other,MASPETH,3+ Family Apt. Building,ADDRESS,40.86688884,-73.91895488,216.0
2017,7,6,0,1,QUEENS,Unspecified QUEENS,Other,Other,1-2 Family Dwelling,LATLONG,40.75781875,-73.76746681,72.0
2017,6,3,0,0,BRONX,Other,Other,BRONX,1-2 Family Dwelling,ADDRESS,40.81872827,-73.82020098,303.7786111
2017,2,2,0,0,BRONX,Unspecified BRONX,Other,BRONX,3+ Family Apt. Building,LATLONG,40.81242665,-73.88754508,168.0
2017,2,2,0,0,BRONX,Unspecified BRONX,Other,BRONX,1-2 Family Dwelling,LATLONG,40.81242665,-73.88754508,168.0
2017,2,2,0,0,MANHATTAN,12 MANHATTAN,Other,NEW YORK,3+ Family Apt. Building,ADDRESS,40.83454275,-73.94216201,144.0
2017,2,2,0,0,BROOKLYN,Other,Other,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.58151615,-73.959755,352.5316667
2017,7,0,0,0,QUEENS,Other,Other,Other,1-2 Family Dwelling,ADDRESS,40.75764082,-73.76770567,48.0
2017,6,3,0,0,QUEENS,05 QUEENS,Other,Maspeth,3+ Family Apt. Building,ADDRESS,40.72122317,-73.90449597,456.0
2017,7,1,0,0,MANHATTAN,Unspecified MANHATTAN,10031,NEW YORK,3+ Family Apt. Building,LATLONG,40.82863303,-73.9471609,48.0
2017,2,2,0,0,BROOKLYN,04 BROOKLYN,11237,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.69804691,-73.91954601,288.0
2017,2,2,0,0,QUEENS,Other,Other,Elmhurst,3+ Family Apt. Building,ADDRESS,40.74013447,-73.87822332,312.0
2017,2,2,0,0,BROOKLYN,04 BROOKLYN,11207,BROOKLYN,Other (Explain Below),ADDRESS,40.68778693,-73.91200786,360.0
2017,7,1,0,0,BROOKLYN,06 BROOKLYN,11217,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.6782837,-73.98119127,120.0
2017,7,1,0,0,BROOKLYN,Unspecified BROOKLYN,11215,BROOKLYN,Vacant Building,LATLONG,40.6680742,-73.98963281,120.0
2017,7,1,0,0,MANHATTAN,07 MANHATTAN,Other,NEW YORK,3+ Family Mixed Use Building,ADDRESS,40.77755124,-73.98610982,408.0
2017,7,1,0,0,BRONX,Other,Other,BRONX,1-2 Family Dwelling,ADDRESS,40.84578125,-73.82625059,48.0
2017,7,1,0,0,MANHATTAN,Unspecified MANHATTAN,10025,NEW YORK,3+ Family Apt. Building,LATLONG,40.7989501,-73.96475232,72.0
2017,7,1,0,0,BROOKLYN,08 BROOKLYN,11217,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.68107881,-73.97224901,48.0
2017,7,1,0,0,BROOKLYN,06 BROOKLYN,11217,BROOKLYN,3+ Family Mixed Use Building,ADDRESS,40.67845669,-73.98164548,120.0
2017,2,2,0,0,MANHATTAN,08 MANHATTAN,Other,NEW YORK,3+ Family Mixed Use Building,ADDRESS,40.7692111,-73.95720108,184.4280556
2017,7,2,0,0,BROOKLYN,Unspecified BROOKLYN,11203,BROOKLYN,1-2 Family Dwelling,LATLONG,40.65619266,-73.92914731,48.0
2017,7,2,0,0,BROOKLYN,Unspecified BROOKLYN,11238,BROOKLYN,3+ Family Apt. Building,LATLONG,40.67279323,-73.9654066,24.0
2017,7,2,0,0,BROOKLYN,Other,Other,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.59525859,-73.95760424,153.0330556
2017,7,3,0,0,MANHATTAN,07 MANHATTAN,10024,NEW YORK,Other (Explain Below),ADDRESS,40.78780731,-73.9794125,360.0
2017,7,3,0,0,BROOKLYN,Unspecified BROOKLYN,11238,BROOKLYN,Construction Site,LATLONG,40.68296323,-73.96752498,48.0
2017,7,3,0,0,BROOKLYN,17 BROOKLYN,11203,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.65363978,-73.93336664,24.0
2017,7,3,0,0,BROOKLYN,Other,Other,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.63145587,-74.03756225,24.0
2017,7,5,0,1,QUEENS,Unspecified QUEENS,Other,Corona,1-2 Family Dwelling,ADDRESS,40.7566635,-73.86837159,312.0
